year,v2x_libdem,v2x_freexp_altinf,v2xcl_rol,v2x_cspart,v2x_jucon
2000,0.717,0.928,0.839,0.9,0.825
2001,0.717,0.928,0.839,0.9,0.825
2002,0.721,0.929,0.847,0.9,0.825
2003,0.722,0.923,0.847,0.948,0.825
2004,0.722,0.923,0.847,0.948,0.825
2005,0.772,0.933,0.857,0.948,0.925
2006,0.77,0.933,0.856,0.948,0.925
2007,0.769,0.927,0.856,0.948,0.925
2008,0.769,0.927,0.856,0.942,0.925
2009,0.769,0.927,0.856,0.942,0.925
2010,0.776,0.931,0.856,0.942,0.93
2011,0.781,0.931,0.856,0.933,0.93
2012,0.777,0.927,0.856,0.924,0.927
2013,0.781,0.932,0.852,0.917,0.931
2014,0.783,0.934,0.852,0.917,0.927
2015,0.769,0.921,0.851,0.917,0.921
2016,0.653,0.809,0.826,0.789,0.872
2017,0.641,0.813,0.807,0.755,0.881
2018,0.608,0.792,0.784,0.733,0.859
2019,0.528,0.728,0.674,0.719,0.806
2020,0.534,0.709,0.665,0.732,0.806
2021,0.531,0.699,0.647,0.711,0.827
2022,0.54,0.704,0.634,0.75,0.827
2023,0.695,0.903,0.829,0.935,0.914
2024,0.712,0.923,0.83,0.896,0.954
2025,0.704,0.91,0.86,0.865,0.954
